Id,Title,Year,CitationsCount,Authors,AuthorsCount,Topics,Abstract,FirstSource
2042281163,item based collaborative filtering recommendation algorithms,2001,5365,"badrul m sarwar, george karypis, joseph a konstan, john riedl",4,"World Wide Web, Slope One, Scalability, Recommender system, MovieLens, Machine learning, Knowledge extraction, Dissemination, Data mining, Computer science, Collaborative filtering, Cold start, Artificial intelligence, Algorithm","Recommender systems apply knowledge discovery techniques to the problem of making personalized recommendations for information, products or services during a live interaction. These systems, especially the k-nearest neighbor collaborative ltering based ones, are achieving widespread success on the Web. The tremendous growth in the amount of available information and the number of visitors to Web sites in recent years poses some key challenges for recommender systems. These are: producing high quality recommendations, performing many recommendations per second for millions of users and items and achieving high coverage in the face of data sparsity. In traditional collaborative ltering systems the amount of work increases with the number of participants in the system. New recommender system technologies are needed that can quickly produce high quality recommendations, even for very large-scale problems. To address these issues we have explored item-based collaborative ltering techniques. Item-based techniques rst analyze the user-item matrix to identify relationships between di erent items, and then use these relationships to indirectly compute recommendations for users. In this paper we analyze di erent item-based recommendation generation algorithms. We look into di erent techniques for computing item-item similarities (e.g., item-item correlation vs. cosine similarities between item vectors) and di erent techniques for obtaining recommendations from them (e.g., weighted sum vs. regression model). Finally, we experimentally evaluate our results and compare them to the basic k-nearest neighbor approach. Our experiments suggest that item-based algorithms provide dramatically better performance than user-based algorithms, while at the same time providing better quality than the best available userbased algorithms.",http://files.grouplens.org/papers/www10_sarwar.pdf
1971040550,evaluating collaborative filtering recommender systems,2004,4131,"jonathan l herlocker, joseph a konstan, loren terveen, john riedl",4,"Uncorrelated, Slope One, Recommender system, MovieLens, Information retrieval, Equivalence class, Data mining, Content domain, Computer science, Collaborative filtering, Cold start","Recommender systems have been evaluated in many, often incomparable, ways. In this article, we review the key decisions in evaluating collaborative filtering recommender systems: the user tasks being evaluated, the types of analysis and datasets being used, the ways in which prediction quality is measured, the evaluation of prediction attributes other than quality, and the user-based evaluation of the system as a whole. In addition to reviewing the evaluation strategies used by prior researchers, we present empirical results from the analysis of various accuracy metrics on one content domain where all the tested metrics collapsed roughly into three equivalence classes. Metrics within each equivalency class were strongly correlated, while metrics from different equivalency classes were uncorrelated.",http://onemvweb.com/sources/sources/evaluating_collaborative_recommender.pdf
2155106456,grouplens an open architecture for collaborative filtering of netnews,1994,4279,"paul resnick, neophytos iacovou, mitesh suchak, peter bergstrom, john riedl",5,"World Wide Web, User modeling, Slope One, Server, Open architecture, News aggregator, Multimedia, MovieLens, Human–computer interaction, Computer science, Collaborative filtering, Cold start","Collaborative filters help people make choices based on the opinions of other people. GroupLens is a system for collaborative filtering of netnews, to help people find articles they will like in the huge stream of available articles. News reader clients display predicted scores and make it easy for users to rate articles after they read them. Rating servers, called Better Bit Bureaus, gather and disseminate the ratings. The rating servers predict scores based on the heuristic that people who agreed in the past will probably agree again. Users can protect their privacy by entering ratings under pseudonyms, without reducing the effectiveness of the score prediction. The entire architecture is open: alternative software for news clients and Better Bit Bureaus can be developed   independently and can interoperate with the components we have developed.",http://pages.cpsc.ucalgary.ca/~saul/601.13/readings/p175-resnick.pdf
2085937320,an algorithmic framework for performing collaborative filtering,1999,2342,"jonathan l herlocker, joseph a konstan, al borchers, john riedl",4,"Slope One, MovieLens, Information retrieval, Data mining, Concept hierarchy, Computer science, Collaborative filtering",,http://portal.acm.org/citation.cfm?doid=312624.312682
1999047234,grouplens applying collaborative filtering to usenet news,1997,2132,"joseph a konstan, bradley n miller, david a maltz, jonathan l herlocker, lee r gordon, john riedl",6,"World Wide Web, Slope One, Programmer, Personal taste, Information retrieval, Critical design, Computer science, Collaborative filtering, C11","newsgroups carry a wide enough spread of messages to make most individuals consider Usenet news to be a high noise information resource. Furthermore, each user values a different set of messages. Both taste and prior knowledge are major factors in evaluating news articles. For example, readers of the rec.humor newsgroup, a group designed for jokes and other humorous postings, value articles based on whether they perceive them to be funny. Readers of technical groups, such as comp.lang.c11 value articles based on interest and usefulness to them—introductory questions and answers may be uninteresting to an expert C11 programmer just as debates over subtle and advanced language features may be useless to the novice. The combination of high volume and personal taste made Usenet news a promising candidate for collaborative filtering. More formally, we determined the potential predictive utility for Usenet news was very high. The GroupLens project started in 1992 and completed a pilot study at two sites to establish the feasibility of using collaborative filtering for Usenet news [8]. Several critical design decisions were made as part of that pilot study, including:",http://sistemas-humano-computacionais.wdfiles.com/local--files/capitulo%3Aredes-sociais/konstan%2097.pdf
1832221731,application of dimensionality reduction in recommender system a case study,2000,1119,"badrul m sarwar, george karypis, joseph a konstan, john riedl",4,"The Internet, Singular value decomposition, Recommender system, Knowledge extraction, Information retrieval, Dimensionality reduction, Data mining, Customer interaction, Curse of dimensionality, Computer science, Collaborative filtering","Abstract : We investigate the use of dimensionality reduction to improve performance for a new class of data analysis software called ""recommender systems"" Recommender systems apply knowledge discovery techniques to the problem of making product recommendations during a live customer interaction. These systems are achieving widespread success in E-commerce nowadays, especially with the advent of the Internet. The tremendous growth of customers and products poses three key challenges for recommender systems in the E-commerce domain. These are: producing high quality recommendations, performing many recommendations per second for millions of customers and products, and achieving high coverage in the face of data sparsity. One successful recommender system technology is collaborative filtering, which works by matching customer preferences to other customers in making recommendations. Collaborative filtering has been shown to produce high quality recommendations, but the performance degrades with the number of customers and products. New recommender system technologies are needed that can quickly produce high quality recommendations, even for very largescale problems. This paper presents two different experiments where we have explored one technology called Singular Value Decomposition (SVD) to reduce the dimensionality of recommender system databases. Each experiment compares the quality of a recommender system using SVD with the quality of a recommender system using collaborative filtering. The first experiment compares the effectiveness of the two recommender systems at predicting consumer preferences based on a database of explicit ratings of products. The second experiment compares the effectiveness of the two recommender systems at producing Top-N lists based on a real-life customer purchase database from an E-Commerce site. Our experience suggests that SVD has the potential to meet many of the challenges of recommender systems, under certain conditions.",http://ai.stanford.edu/~ronnyk/WEBKDD2000/papers/sarwar.pdf
2134584261,explaining collaborative filtering recommendations,2000,1061,"jonathan l herlocker, joseph a konstan, john riedl",3,"Transparency (graphic), Recommender system, MovieLens, Knowledge management, Human–computer interaction, Filter (signal processing), Conceptual model, Computer science, Collaborative filtering, Black box","Automated collaborative filtering (ACF) systems predict a person's affinity for items or information by connecting that person's recorded interests with the recorded interests of a community of people and sharing ratings between like-minded persons. However, current recommender systems are black boxes, providing no transparency into the working of the recommendation. Explanations provide that transparency, exposing the reasoning and data behind a recommendation. In this paper, we address explanation interfaces for ACF systems - how they should be implemented and why they should be implemented. To explore how, we present a model for explanations based on the user's conceptual model of the recommendation process. We then present experimental results demonstrating what components of an   explanation are the most compelling. To address why, we present experimental evidence that shows that providing explanations can improve the acceptance of ACF systems. We also describe some initial explorations into measuring how explanations can improve the filtering performance of users.",http://portal.acm.org/citation.cfm?doid=358916.358995
2105953200,collaborative filtering recommender systems,2011,514,"michael d ekstrand, john riedl, joseph a konstan",3,"User experience design, Recommender system, Multimedia, Information needs, Information filtering system, Human–computer interaction, Embedding, Computer science, Collaborative filtering, Best practice","Recommender systems are an important part of the information and e-commerce ecosystem. They represent a powerful method for enabling users to filter through large information and product spaces. Nearly two decades of research on collaborative filtering have led to a varied set of algorithms and a rich collection of tools for evaluating their performance. Research in the field is moving in the direction of a richer understanding of how recommender technology may be embedded in specific domains. The differing personalities exhibited by different recommender algorithms show that recommendation is not a one-size-fits-all problem. Specific tasks, information needs, and item domains represent unique problems for recommenders, and design and evaluation of recommenders needs to be done based on the user tasks to be supported. Effective deployments must begin with careful analysis of prospective users and their goals. Based on this analysis, system designers have a host of options for the choice of algorithm and for its embedding in the surrounding user experience. This paper discusses a~wide variety of the choices available and their implications, aiming to provide both practicioners and researchers with an introduction to the important issues underlying recommenders and current best practices for addressing these issues.",http://nowpublishers.com/article/DownloadSummary/HCI-009
1532852017,combining collaborative filtering with personal agents for better recommendations,1999,659,"nathaniel good, j ben schafer, joseph a konstan, al borchers, badrul m sarwar, jon herlocker, john riedl",7,"World Wide Web, Machine learning, Information retrieval, Information overload, Information filtering system, Filter (signal processing), Computer science, Collaborative filtering, Artificial intelligence",Information filtering agents and collaborative filtering both attempt to alleviate information overload by identifying which items a user will find worthwhile. Information filtering (IF) focuses on the analysis of item content and the development of a personal user interest profile. Collaborative filtering (CF) focuses on identification of other users with similar tastes and the use of their opinions to recommend items. Each technique has advantages and limitations that suggest that the two could be beneficially combined.This paper shows that a CF framework can be used to combine personal IF agents and the opinions of a community of users to produce better recommendations than either agents or users can produce alone. It also shows that using CF to create a personal combination of a set of agents produces better results than either individual agents or other combination mechanisms. One key implication of these results is that users can avoid having to select among agents; they can use them all and let the CF framework select the best ones for them.,http://dblp.uni-trier.de/db/conf/aaai/aaai99.html#GoodSKBSHR99
2028036481,using filtering agents to improve prediction quality in the grouplens research collaborative filtering system,1998,358,"badrul m sarwar, joseph a konstan, al borchers, jon herlocker, brad miller, john riedl",6,"Social filtering, Recommender system, Information retrieval, Information overload, Information filtering system, Filter (signal processing), Content filtering, Content analysis, Computer science, Collaborative filtering","Collaborative filtering systems help address information overload by using the opinions of users in a community to make personal recommendations for documents to each user. Many collaborative filtering systems have few user opinions relative to the large number of documents available. This sparsity problem can reduce the utility of the filtering system by reducing the number of documents for which the system can make recommendations and adversely affecting the quality of recommendations. This paper defines and implements a model for integrating content-based ratings into a collaborative filtering system. The filterbot model allows collaborative filtering systems to address sparsity by tapping the strength of content filtering techniques. We identify and evaluate metrics for assessing the effectiveness of filterbots specifically, and filtering system enhancements in general. Finally, we experimentally validate the filterbot approach by showing that even simple filterbots such as spell checking can increase the utility for users of sparsely populated collaborative filtering systems.",http://portal.acm.org/citation.cfm?doid=289444.289509
